,LAeq,6.3 Hz,8 Hz,10 Hz,12.5 Hz,16 Hz,20 Hz,25 Hz,31.5 Hz,40 Hz,50 Hz,63 Hz,80 Hz,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1 kHz,1.25 kHz,1.6 kHz,2 kHz,2.5 kHz,3.15 kHz,4 kHz,5 kHz,6.3 kHz,8 kHz,10 kHz,12.5 kHz,16 kHz,20 kHz
2023-03-25 18:45:00,46.153957,29.983576,33.61677,37.930714,41.630783,43.68337,44.52479,43.637707,44.43771,45.617256,43.666737,39.42689,37.391457,39.833595,41.09854,40.316563,41.06698,38.439583,38.174446,36.351997,36.179287,36.99408,38.281544,38.923923,36.75469,34.175537,32.139217,29.053072,24.27592,22.120842,19.900503,14.914636,10.447411,6.635497,7.091962,8.640087,9.424375
2023-03-25 19:00:00,47.459965,30.37922,34.06665,37.478786,40.66769,42.667812,43.772846,43.264828,43.61479,44.64868,42.67552,40.875416,38.533577,39.0958,41.014202,41.06212,40.377987,38.71847,38.486946,37.135452,37.013836,37.77599,38.804775,39.701546,37.82547,35.75809,33.28568,30.044758,26.236614,23.850487,21.850426,17.924904,14.834234,13.517619,12.756923,12.111328,11.202414
2023-03-25 19:15:00,44.50514,28.582195,32.03415,36.24118,40.01943,42.44538,45.183716,44.90375,44.693577,43.861458,41.041874,40.175957,37.99073,36.965763,39.43844,39.725487,35.536613,36.263508,36.256493,35.008213,35.220936,35.573,36.349148,37.143784,35.55179,33.063766,30.544027,26.955626,21.958021,17.909002,14.084188,9.876658,5.488709,4.6900587,7.1981335,8.70197,9.483004
2023-03-25 19:30:00,42.77927,28.970407,32.36844,36.402985,40.058037,42.093784,43.686283,43.604168,44.077847,43.93868,41.091873,39.33632,37.66854,36.268543,36.977066,37.94908,34.511528,35.51335,34.81408,33.929653,34.242744,34.414062,35.144047,35.49071,33.414253,30.631145,27.21283,22.444036,18.16098,13.56411,9.011598,5.574284,2.8963737,2.6700954,5.9661326,8.38171,9.331979
2023-03-25 19:45:00,45.401043,32.94146,36.55842,39.84988,42.814617,45.172707,46.489376,45.269512,46.784515,47.3017,44.11769,42.176563,40.15111,39.25302,41.74531,41.81276,38.398975,38.71151,38.788647,38.209255,37.49205,36.85219,36.80047,37.116943,35.680573,33.226543,30.27519,26.356953,22.972769,18.308699,13.391016,10.304414,6.613813,5.208155,6.762704,8.485816,9.331737
2023-03-25 20:00:00,43.187744,28.336988,31.386614,35.457012,39.24033,41.360573,42.793785,42.26783,43.712257,44.062984,40.909912,40.40248,37.818436,37.02186,39.06842,39.880936,36.694115,35.923107,35.448368,34.61616,34.28255,34.140156,34.717762,35.526283,33.96245,31.721615,28.780348,24.47447,20.291954,15.692873,10.884692,8.560612,4.1033096,3.7443337,8.338364,9.57421,9.830235
2023-03-25 20:15:00,41.056736,27.678827,30.789652,34.528126,38.027916,40.49538,41.242813,41.603924,40.89981,42.07394,39.579254,38.119774,34.926075,32.808193,35.402412,35.481163,32.218384,32.487396,32.922516,31.843733,32.293663,32.260487,33.235435,34.120106,32.671772,29.965399,26.354628,21.371025,17.397087,12.956688,8.792804,6.6710286,3.640013,3.5191905,7.95694,9.347265,9.801128
2023-03-25 20:30:00,40.43269,27.052448,29.671875,33.589825,36.90974,39.515415,40.345695,39.513317,40.08679,41.17453,38.553627,37.229324,34.689045,34.700172,36.361042,35.9391,32.844166,32.75835,32.86288,31.494654,31.753334,31.554514,32.250366,33.12342,31.51521,29.001112,25.855556,21.225296,17.110617,12.62974,8.705798,5.6331553,3.1716125,3.3820682,7.1026864,8.8964405,9.544852
2023-03-25 20:45:00,39.50486,28.121988,31.215017,34.598316,37.54967,39.38724,39.47026,38.86507,41.47816,41.649723,37.95448,37.070763,35.396545,32.69981,35.095818,35.651787,32.850834,31.834305,32.50729,31.565954,31.393368,30.931631,31.18045,31.568523,30.086424,27.647638,24.561562,19.99526,16.09783,11.819215,8.385013,5.835193,3.8142622,3.693609,6.270152,8.550938,9.421979
2023-03-25 21:00:00,38.13571,27.40363,29.504045,32.573544,35.224514,37.03396,38.956615,36.814114,36.797882,37.128334,35.58491,35.202484,32.73625,32.39604,33.969097,34.786335,30.938263,30.490572,30.736528,29.932447,29.27243,28.902136,29.473265,30.128681,28.838142,26.63086,23.502188,18.907444,14.966042,11.541841,9.261684,7.2129884,5.3719077,5.1109157,7.1478343,8.961606,9.655573
2023-03-25 21:15:00,38.26736,28.625486,31.115452,34.565018,36.421528,37.86854,39.00519,36.87583,37.068108,38.45561,37.17764,35.82519,33.54578,31.91132,33.914967,34.700436,31.09639,31.093662,30.968351,29.869827,29.507414,29.482899,29.984896,30.863386,29.08736,26.764088,23.4656,18.544683,14.315721,10.379939,7.4236503,5.1683593,3.0665646,2.9041774,5.8969097,8.28756,9.239583
2023-03-25 21:30:00,36.89927,26.102274,29.003645,31.628923,34.10526,36.203575,38.0225,36.554478,37.65882,37.907276,35.92665,34.964878,32.26021,30.866058,32.98828,34.768505,31.075834,29.508732,29.634184,28.053888,27.538473,27.598629,28.084236,29.084011,27.85665,25.601814,22.398914,17.644974,13.588021,9.511559,6.7499914,4.629175,2.6460829,2.580968,5.7727084,8.262457,9.219645
2023-03-25 21:45:00,35.45441,25.771416,27.913801,30.741684,33.644203,35.7808,37.14611,34.23939,34.53361,36.754547,35.47906,33.97585,31.826996,30.8096,31.932968,32.743645,29.341667,27.85592,27.708334,26.474236,26.264097,26.596788,27.235,27.934826,26.412552,23.88789,20.349644,15.610161,12.142634,8.849336,6.8065844,5.020638,3.242971,3.007691,5.839705,8.27796,9.307856
